rep,"Generation","phylogenetic_diversity","diversity","ave_depth","mrca_depth","mean_pairwise_distance","min_pairwise_distance","max_pairwise_distance","variance_pairwise_distance","mean_evolutionary_distinctiveness","min_evolutionary_distinctiveness","max_evolutionary_distinctiveness","variance_evolutionary_distinctiveness","num_roots","num_active_taxa","num_total_orgs","prev_mrca_depth"
001,5107,363,5.57429,17.2794,8,14.6726,1,31,45.6448,450.459,34.0273,1547.15,84217.4,1,281,3600,-1
001,5480,172,1.36023,21.1542,14,2.5402,1,15,2.19435,63.5547,13.8282,1998,32432.7,1,146,3600,8
001,5481,170,1.41009,21.1658,16,2.44732,1,10,0.891861,44.1494,7.09028,1021,6679.09,1,145,3600,14
001,5482,185,1.53358,21.1842,21,2.42624,1,6,0.481206,30.8567,0,35,60.0432,1,161,3600,16
001,11958,244,4.06864,27.9247,25,6.23842,1,16,9.21282,2656.36,0,5395,4412150,1,184,3600,21
001,14619,235,3.43063,31.7925,29,5.98665,1,14,7.68496,1074.59,51.1264,2106.03,404172,1,174,3600,25
001,16997,252,4.82256,34.4428,31,8.22208,1,17,13.1823,975.093,0,4445,1417970,1,184,3600,29
001,21117,196,1.2507,38.1261,38,2.17978,1,4,0.190071,38.7652,0,41,43.8949,1,154,3600,31
001,25429,251,3.82622,44.7169,40,9.19467,1,28,36.7252,1431.7,0,2901,963220,1,174,3600,38
001,28702,191,2.17395,49.1511,48,3.14937,1,7,1.18281,39.7888,0.479167,45.0238,81.9593,1,138,3600,40
001,33280,271,4.01204,57.8572,49,12.3985,1,26,57.2119,874.287,42.8056,2177.85,238105,1,178,3600,48
001,34970,271,4.35465,60.2308,57,6.93664,1,17,9.61353,856.406,0,1938,348298,1,171,3600,49
001,36523,264,3.81535,63.3908,61,6.75275,1,22,16.6981,978.227,0,2126,599349,1,169,3600,57
001,43514,233,1.33199,74.1444,74,2.30727,1,6,0.337804,43.4134,0,48,99.1768,1,154,3600,61
001,51163,242,1.16989,93.1203,86,2.41993,1,10,0.8229,44.8117,0,49.4069,76.6273,1,146,3600,74
001,51164,252,1.31223,93.1439,93,2.38299,1,6,0.437989,34.3225,0,39,75.8877,1,154,3600,86
001,58273,341,4.498,103.101,95,13.3262,1,33,87.075,863.139,34.8358,2472.51,507397,1,197,3600,93
001,59263,318,4.53615,101.554,97,9.07416,1,18,15.0008,981.707,0,3446,739774,1,186,3600,95
001,62572,258,1.62544,104.188,104,2.27535,1,4,0.265034,37.5996,0,41,59.9568,1,150,3600,97
001,65597,246,0.972138,113.091,106,2.38104,1,13,2.29118,65.4406,15.3672,1326,19020,1,130,3600,104
001,65604,274,1.38426,113.147,113,2.22829,1,5,0.253592,39.1987,0,42,52.8708,1,156,3600,106
001,69033,279,1.18618,122.108,117,2.43481,1,14,1.99054,79.8353,15.1689,2245,63408.3,1,150,3600,113
001,69038,260,1.20068,122.121,122,2.19867,1,4,0.208918,40.381,0,44,72.4125,1,138,3600,117
001,69497,314,1.71088,127.209,127,2.43199,1,8,0.545042,37.8961,0,41,56.303,1,179,3600,122
001,73606,338,4.28385,131.252,129,5.97124,1,13,5.67508,1063.25,0,3536,1136780,1,177,3600,127
001,77451,310,1.49672,138.143,133,2.38746,1,10,0.838042,63.6479,0,2736,41827.2,1,172,3600,129
001,77454,295,1.58818,138.175,138,2.26644,1,5,0.283428,35.2385,0,39,59.729,1,155,3600,133
001,81607,359,4.19817,146.894,142,8.54483,1,19,21.4159,764.42,20.9015,2192.33,253891,1,191,3600,138
001,82254,363,3.01515,146.895,144,4.7256,1,17,11.0199,1157.07,17.2866,1536.96,199655,1,191,3600,142
001,85533,328,1.46726,155.159,155,2.32615,1,6,0.366155,38.7002,0,43,78.7188,1,169,3600,144
002,2644,178,1.36241,13.1436,2,2.75619,1,23,9.34383,64.9324,16.78,1526,23758.6,1,152,3600,-1
002,2650,171,1.379,13.1389,13,2.24198,1,5,0.264865,36.0753,0,39,49.5538,1,155,3600,2
002,18500,262,4.27304,55.1958,49,9.42249,1,25,33.1038,1221.69,28.6767,2555.53,779437,1,184,3600,13
002,19710,224,1.42748,58.1556,53,2.49167,1,9,0.884679,82.0821,0,3756,84982.8,1,160,3600,49
002,19714,227,1.50128,58.1639,58,2.31746,1,6,0.34121,40.1199,0,44,71.3867,1,162,3600,53
002,22840,269,4.75545,65.1892,60,10.3216,1,25,24.1747,832.221,0,3072,676967,1,169,3600,58
002,23175,239,1.87677,67.2947,66,3.17536,1,8,2.49933,36.4739,0.325926,40.0296,59.4875,1,168,3600,60
002,23274,214,1.11409,72.11,72,2.21312,1,5,0.24819,39.9341,0,43,58.5642,1,139,3600,66
002,25917,240,1.45862,79.1625,79,2.28027,1,6,0.336466,37.513,0,41,62.3272,1,160,3600,72
002,29084,246,1.22697,92.0922,83,2.87759,1,14,5.93444,111.187,0,2758,152530,1,145,3600,79
002,29095,243,1.18625,92.1253,92,2.32035,1,6,0.351378,40.3944,0,44,71.436,1,142,3600,83
002,38658,310,4.20877,101.244,98,7.21614,1,17,9.55152,1267.08,0,3219,1036080,1,168,3600,92
002,51886,346,4.3687,122.413,116,10.1985,1,22,21.7964,774.365,64.9451,1404.65,166673,1,193,3600,98
002,52816,290,1.51496,129.15,120,2.76892,1,17,5.57371,112.003,26.2416,3100,136859,1,151,3600,116
002,52818,283,1.47895,129.166,122,2.48005,1,12,1.22349,57.5694,11.2517,1654,17411.1,1,148,3600,120
002,52820,278,1.40114,129.156,129,2.35891,1,6,0.433777,37.8019,0,42,73.9611,1,143,3600,122
002,61908,341,4.03063,141.708,137,8.30149,1,22,20.561,880.555,40.2937,1992.67,373728,1,177,3600,129
002,64021,348,4.07215,146.32,141,8.25472,1,20,19.6111,1205.49,26.7583,2570.38,656020,1,170,3600,137
002,69169,416,4.89522,158.017,151,10.6376,1,26,29.6001,771.088,27.1076,2253.92,485100,1,206,3600,141
002,77166,381,3.90368,167.774,161,10.1339,1,27,34.9989,1818.45,79.1935,3201.26,1467730,1,177,3600,151
002,82446,361,4.156,177.255,173,8.64315,1,18,17.2942,1062.04,0,2867,785386,1,157,3600,161
002,84726,385,4.43358,180.275,177,6.49053,1,17,8.27848,739.87,0,2643,178725,1,174,3600,173
002,91869,419,4.20506,190.076,179,12.6487,1,28,77.8923,963.032,60.6241,2290.73,488091,1,192,3600,177
002,93854,415,3.65822,188.515,187,5.06437,1,14,5.06722,1287.3,0,2651,987819,1,194,3600,179
003,6176,317,5.5436,11.6697,6,9.71974,1,25,20.1841,528.368,29.2937,1237.99,119748,1,253,3600,-1
003,7302,195,1.82578,17.2553,10,2.60895,1,13,1.34527,59.0238,13.6221,2343,30389.3,1,173,3600,6
003,7303,175,1.78244,17.2531,17,2.52719,1,5,0.49593,33.3553,0,38,65.0242,1,155,3600,10
003,12875,268,4.75983,21.7053,19,6.0192,1,14,5.52745,944.236,0,3425,862355,1,217,3600,17
003,20854,248,4.33929,37.0017,29,11.4337,1,26,38.8798,828.475,0,4171,415946,1,182,3600,19
