rep,"Generation","phylogenetic_diversity","diversity","ave_depth","mrca_depth","mean_pairwise_distance","min_pairwise_distance","max_pairwise_distance","variance_pairwise_distance","mean_evolutionary_distinctiveness","min_evolutionary_distinctiveness","max_evolutionary_distinctiveness","variance_evolutionary_distinctiveness","num_roots","num_active_taxa","num_total_orgs","prev_mrca_depth"
001,19935,1617,8.31462,266.616,68,231.246,1,425,28524,366.588,76.656,1821.86,29049.3,1,509,3600,-1
001,36441,1725,8.14,469.25,350,139.662,1,260,8810.77,371.545,64.2999,1438.16,39652.4,1,465,3600,68
001,41245,1774,8.23794,534.686,447,122.348,1,205,3587.1,339.618,61.3163,1140.27,26234.5,1,490,3600,350
001,48846,1934,8.27138,624.9,520,130.412,1,236,6465.57,347.733,62.61,1869.51,49061.6,1,519,3600,447
001,52958,1819,8.21011,676.633,584,120.135,1,209,4445.69,321.447,70.2928,1066.96,23955.2,1,502,3600,520
001,82094,1604,5.9881,774.399,637,177.906,1,303,11662.9,7350.37,765.806,23297.1,21291000,1,185,3600,584
002,16338,1462,8.27604,213.332,122,109.356,1,207,4071.75,335.399,40.9228,1618.11,37142.9,1,509,3600,-1
002,17076,1410,8.21027,222.515,148,96.7536,1,167,2401.17,311.426,39.5127,1202.18,32430.3,1,511,3600,122
002,20768,1476,8.32569,274.131,193,111.893,1,194,3372.49,318.527,51.241,1195.39,28376.4,1,524,3600,148
002,27533,1763,8.3772,369.489,245,150.744,1,277,8011.05,339.316,76.2684,1495.16,34265.7,1,527,3600,193
002,33566,1698,8.28141,446.091,373,89.1298,1,177,2656.59,384.997,39.2825,1198.05,47253.8,1,498,3600,245
002,34892,1787,8.35123,460.334,383,102.993,1,180,2658.97,366.318,71.4163,1485.93,39756,1,534,3600,373
002,46680,1815,8.22844,625.326,559,90.4378,1,159,1831.03,355.282,63.7141,1709.03,46458.8,1,479,3600,383
002,49944,1908,8.23826,666.402,593,101.673,1,172,2357.35,368.699,45.7154,1798.18,38960.6,1,492,3600,559
002,56888,1595,6.21235,755.648,644,142.929,1,264,8277.48,678.74,103.023,2018.62,245816,1,292,3600,593
003,15386,1409,8.31916,202.591,124,113.758,1,182,2813.59,317.581,54.4462,1423.17,34033.1,1,518,3600,-1
003,26821,1823,8.27675,360.443,139,104.517,1,466,10170.7,369.125,77.0995,1297.42,51298.2,1,511,3600,124
003,27301,1616,8.37217,365.614,310,86.8066,1,138,1172.15,316.953,63.5173,1042.42,23413.6,1,527,3600,139
003,47308,1942,8.20856,657.755,518,168.797,1,302,11345.8,368.579,79.3577,1634.69,35280,1,497,3600,310
003,54988,2076,8.26929,765.637,662,131.942,1,230,5948.94,368.364,76.4728,1450.14,39332.7,1,499,3600,518
004,17546,1580,8.16836,225.252,29,240.435,1,425,21775.9,404.3,96.9134,1663.14,45551.8,1,464,3600,-1
004,25546,1860,8.19159,321.156,86,222.435,1,497,30292.6,387.159,94.2606,1305.94,36666.6,1,511,3600,29
004,29265,1862,8.21973,369.724,259,162.743,1,251,5151.74,370.882,104.694,1090.95,27418.7,1,491,3600,86
004,34690,2001,8.314,443.274,282,187.289,1,346,10913,396.312,82.5045,1367.09,34028.3,1,519,3600,259
004,37165,1738,8.08408,481.573,333,161.281,1,296,8696,355.197,67.9485,1161.49,32734.1,1,473,3600,282
004,38496,1908,8.14063,502.65,383,155.534,1,261,7946.11,393.199,78.7596,1236.53,36358.7,1,488,3600,333
004,51507,2127,8.1872,663.55,539,160.543,1,262,6795.83,445.197,62.1887,3648.23,72926.8,1,497,3600,383
004,57346,1910,7.82959,751.694,633,128.712,1,236,5491.58,414.946,58.6286,1607.49,49326.4,1,429,3600,539
004,57941,1831,7.36497,759.976,662,124.45,1,231,5567.56,445.792,79.2885,2422.01,65738.4,1,394,3600,633
005,11097,1398,8.27792,140.741,53,117.172,1,199,3916.72,326.828,57.8085,1023.97,29220,1,516,3600,-1
005,25277,1599,8.13316,337.783,241,130.402,1,209,4226.65,377.275,83.2043,1488.49,40231.8,1,479,3600,53
005,29719,1748,8.28671,400.675,285,154.375,1,257,7028.65,396.003,81.4231,1335.41,47582.6,1,495,3600,241
005,37257,1867,8.32523,501.979,354,155.878,1,319,12912.5,366.571,80.5419,1465.26,34814.3,1,513,3600,285
005,54144,2141,8.10789,723.995,612,164.022,1,248,5823.19,415.554,88.5394,1425.92,36118.3,1,472,3600,354
005,57653,1958,8.22189,772.561,701,92.4059,1,164,1873.88,326.245,61.2042,1292.97,30367.7,1,504,3600,612
005,61692,1742,6.50769,811.195,729,127.748,1,204,3502.4,902.823,104.621,2692.18,459159,1,280,3600,701
006,23354,1518,8.18714,294.667,229,92.9258,1,157,2004.84,385.327,54.797,2078.95,69334.4,1,479,3600,-1
006,38481,1885,8.21984,508.235,417,124.494,1,201,3115.15,393.143,79.8292,1508.67,43268.8,1,494,3600,229
006,38664,1850,8.23071,510.974,422,124.099,1,196,3192.05,373.637,75.4998,1538.35,41634.6,1,517,3600,417
006,43785,1820,8.18445,587.112,469,149.172,1,256,8132.38,385.661,75.5772,2229.46,54385.6,1,465,3600,422
006,47643,1977,8.32114,637.003,538,139.393,1,221,4976.67,332.942,73.3527,1293.72,24828.3,1,518,3600,469
006,53283,1944,8.22423,718.502,622,109.541,1,205,3994.02,332.161,54.6539,1737.23,33313,1,498,3600,538
006,55983,2040,8.1295,762.968,674,107.034,1,200,3227.58,326.646,43.1974,1258.91,28744.5,1,505,3600,622
007,16969,1422,8.03559,244.677,176,102.758,1,162,2247.94,369.106,61.6809,1287.45,37843.6,1,485,3600,-1
007,31029,1873,8.30601,410.808,251,189.063,1,358,18099.7,421.663,81.2839,2227.4,65904.7,1,509,3600,176
007,36176,1808,8.27256,484.51,394,124.781,1,200,4047.37,305.184,61.7254,2374.7,40083.3,1,511,3600,251
007,38730,1842,8.2216,519.244,412,105.499,1,231,2993.72,370.468,53.247,1296.26,35783.9,1,526,3600,394
007,39543,1836,8.26453,529.745,454,108.591,1,180,2366.42,381.246,62.1978,1356.31,40139.6,1,499,3600,412
007,46019,1815,8.3157,620.133,484,141.819,1,301,12698.4,313.213,52.5254,1361.45,36735.7,1,516,3600,454
007,48383,1910,8.29734,646.599,583,95.6203,1,154,1553.76,319.026,60.6339,1489.86,28517.9,1,506,3600,484
008,15446,1544,8.23914,218.942,99,155.711,1,268,7281.66,349.482,77.644,1525.75,25292.4,1,492,3600,-1
008,20512,1563,8.28666,290.457,176,127.068,1,248,6951.52,419.973,95.4977,2021.66,62702.3,1,494,3600,99
008,30253,1676,8.25272,412.322,260,124.697,1,325,13087.4,391.855,52.531,2110.02,54151.5,1,496,3600,176
008,30858,1641,8.32279,417.426,376,63.4773,1,102,599.399,347,52.5406,1247.99,38588.6,1,544,3600,260
008,48814,1897,8.17819,649.947,543,143.747,1,237,6488.91,385.414,54.203,1722.09,54554.2,1,483,3600,376
