rep,"Generation","phylogenetic_diversity","diversity","ave_depth","mrca_depth","mean_pairwise_distance","min_pairwise_distance","max_pairwise_distance","variance_pairwise_distance","mean_evolutionary_distinctiveness","min_evolutionary_distinctiveness","max_evolutionary_distinctiveness","variance_evolutionary_distinctiveness","num_roots","num_active_taxa","num_total_orgs","prev_mrca_depth"
001,6366,189,1.43619,23.1569,18,2.3733,1,13,1.27966,54.0758,7.78981,1223,8759.54,1,158,3600,-1
001,6371,199,1.6526,23.1842,23,2.32128,1,5,0.327617,42.7836,0,47,79.9219,1,173,3600,18
001,14756,254,4.66339,35.2933,31,8.34907,1,19,12.6239,1197.2,0,4253,1242380,1,184,3600,23
001,16945,193,1.19174,46.1219,46,2.16341,1,4,0.178086,35.8138,0,38,37.4561,1,145,3600,31
001,23245,299,4.489,53.8222,50,7.23424,1,18,11.7223,1217.55,35.9318,2724,807315,1,205,3600,46
001,23932,204,1.33071,57.1364,52,2.49408,1,11,1.55627,81.0796,0,2348.5,50553,1,147,3600,50
001,23937,212,1.33196,57.1417,57,2.29293,1,6,0.376717,38.8735,0,43,81.4124,1,154,3600,52
001,26952,295,4.50388,62.1597,59,6.65119,1,17,7.58768,1049.32,0,2473,664790,1,207,3600,57
001,34142,296,4.47351,73.5611,69,9.82297,1,25,27.7504,2001.03,0,5080,3844720,1,180,3600,59
001,37115,301,3.93683,85.3992,77,11.1256,1,27,53.5766,1274.12,43.7455,2264.43,721474,1,185,3600,69
001,46775,289,4.11124,94.4461,91,6.82986,1,16,8.42589,1855.9,0,7490,6123860,1,165,3600,77
001,48501,316,3.405,99.2511,98,2.45095,1,6,0.439291,39.1717,0,46,90.675,1,215,3600,91
001,50094,297,4.35709,102.028,99,6.82652,1,14,8.36086,1006.24,32.74,1624.37,376546,1,170,3600,98
001,50371,265,1.34191,105.148,105,2.4483,1,8,1.21937,34.5776,0,38,67.0775,1,156,3600,99
001,52027,255,1.19614,112.129,112,2.29301,1,5,0.308067,36.2861,0,41,77.9249,1,141,3600,105
001,55405,278,1.37155,121.138,121,2.17717,1,6,0.237924,37.2895,0,40,49.8569,1,156,3600,112
001,65308,370,4.33421,135.651,131,8.56899,1,22,18.3435,1185.1,46.9556,2306.57,665989,1,203,3600,121
001,66962,343,3.59139,137.17,135,6.11613,1,18,10.4892,1806.28,0,3591,2255130,1,179,3600,131
001,68722,361,3.82459,140.273,137,4.80462,1,15,5.88144,1057.32,11.7043,1731.41,432651,1,197,3600,135
001,71601,355,4.17095,143.835,139,9.08303,1,19,17.6563,707.298,49.8395,1309.1,189373,1,178,3600,137
001,75870,319,1.26758,154.14,154,2.31638,1,6,0.440766,40.0763,0,43,60.9972,1,156,3600,139
001,80508,362,2.15017,158.419,158,2.94233,1,11,1.50926,2587.34,0,3141,808483,1,174,3600,154
001,90958,383,4.61058,173.204,166,11.0451,1,23,31.6954,818.019,98.989,2214.48,291638,1,180,3600,158
001,96705,332,1.22105,187.109,178,2.37669,1,12,1.17276,41.5778,0,44.4113,48.9719,1,142,3600,166
001,96708,338,1.33747,187.143,187,2.34815,1,5,0.36896,30.1718,0,34,54.604,1,147,3600,178
002,5876,320,5.02849,20.6556,6,13.7956,1,39,121.062,659.429,22.8829,2247.98,270666,1,237,3600,-1
002,6259,294,4.6645,20.7214,16,8.69219,1,21,20.078,661.088,21.825,1324.38,165920,1,242,3600,6
002,8358,351,5.24531,30.5344,22,12.6376,1,32,46.4785,556.446,20.4297,2017.96,196754,1,272,3600,16
002,8718,199,1.15011,35.1056,28,2.55381,1,16,3.34591,57.7802,11.1161,1211,12790.6,1,157,3600,22
002,8730,187,1.38454,35.1664,35,2.44166,1,7,0.59936,43.4315,0,49,124.414,1,146,3600,28
002,14599,247,4.37974,44.1772,41,7.60173,1,19,13.6066,794.205,0,1750,319897,1,172,3600,35
002,16829,224,1.46351,52.1531,45,2.34125,1,13,1.1826,53.5017,8.63473,1442,11598.6,1,168,3600,41
002,16830,221,1.50022,52.1633,52,2.34168,1,5,0.332141,35.9491,0,41,78.0333,1,167,3600,45
002,21356,287,4.73771,62.0208,58,8.55464,1,18,11.3633,855.103,0,2975,450954,1,185,3600,52
002,25693,277,4.07972,77.8725,68,13.2805,1,31,77.8421,703.91,37.3333,1540.88,185494,1,168,3600,58
002,27042,313,4.42035,79.4072,74,8.14359,1,22,17.2066,774.076,20.3333,2867,312000,1,196,3600,68
002,32384,293,4.31803,89.4069,78,14.609,1,32,101.235,981.048,62.0213,3217.26,477686,1,176,3600,74
002,38915,316,4.20226,97.8772,92,10.1083,1,23,36.4101,1377.57,50.3217,3679.49,1366040,1,186,3600,78
002,41857,290,3.89036,102.608,98,8.26881,1,18,15.6101,715.567,26.5413,2004.23,162006,1,158,3600,92
002,44847,304,4.30053,104.282,100,6.81261,1,18,11.221,1345.88,31.9615,3679.43,1779460,1,173,3600,98
002,52696,360,4.69468,125.86,116,13.5969,1,29,70.7596,703.361,46.1961,2256.31,405447,1,194,3600,100
002,57154,311,1.57795,141.184,128,2.49697,1,20,3.39781,94.5828,29.1402,4779,133859,1,165,3600,116
002,57155,314,1.61782,141.191,141,2.32831,1,7,0.447974,37.8194,0,41,62.4145,1,171,3600,128
002,65770,311,1.18502,164.168,164,2.40775,1,7,0.727156,42.0939,0,46,82.5535,1,142,3600,141
002,69718,323,1.25901,173.115,168,2.33361,1,8,0.520715,37.3013,0,41.2653,66.9468,1,148,3600,164
002,69721,351,1.49095,173.149,173,2.23846,1,4,0.23395,36.8257,0,40,54.195,1,174,3600,168
002,73094,355,3.91668,177.982,175,7.14309,1,18,11.3477,1172.39,0,2851,958349,1,150,3600,173
002,77416,384,4.40068,183.678,181,7.05169,1,16,8.43343,1326.63,0,4621,2244040,1,176,3600,175
002,80507,345,1.13214,196.086,191,2.76312,1,13,4.29285,86.84,0,1806,50179.6,1,143,3600,181
002,80513,347,1.28278,196.136,196,2.18291,1,6,0.245023,41.9144,0,45,72.1906,1,150,3600,191
002,83652,439,4.25435,203.191,198,8.14603,1,18,19.8004,810.324,22.9313,2355.98,324863,1,203,3600,196
002,88326,402,1.23654,217.112,202,3.28001,1,38,30.1812,149.859,42.1055,3438,217332,1,163,3600,198
002,88328,367,1.13145,217.101,210,2.33963,1,11,1.46358,60.6535,11.3714,1643,21700.1,1,146,3600,202
002,88335,357,1.04014,217.096,217,2.11467,1,5,0.165418,40.4746,0,42,32.5012,1,138,3600,210
002,95280,442,4.34371,222.485,219,7.25326,1,19,12.006,2243.75,0,5116,3936200,1,180,3600,217
002,98728,445,4.37159,229.535,225,7.86131,1,17,12.9626,861.996,0,4198,926537,1,192,3600,219
002,99310,397,1.32295,232.138,232,2.25221,1,6,0.293043,38.9756,0,43,73.6938,1,164,3600,225
003,2654,167,1.23126,11.1547,11,2.5023,1,7,0.719535,39.3339,0,44,92.6852,1,145,3600,-1
003,5309,239,4.21982,15.8978,13,6.42609,1,16,8.33196,1089.55,0,2438,611045,1,185,3600,11
003,8697,239,4.43353,29.0597,25,7.79319,1,15,8.3335,625.318,24.7426,1108.23,92906.7,1,183,3600,13
003,22412,270,4.80514,48.8942,39,13.4774,1,32,57.6475,874.362,47.0661,2395,490050,1,177,3600,25
003,24615,252,3.94037,52.8017,49,7.19586,1,17,12.491,1276.25,0,3222,668828,1,173,3600,39
003,25470,285,3.97918,54.5228,51,8.04495,1,22,17.232,1395.73,0,3177,1170070,1,196,3600,49
003,28939,224,1.32115,66.1306,59,2.36804,1,14,1.91523,78.4669,22.1533,3323,70220.7,1,151,3600,51
003,28941,224,1.39359,66.1375,66,2.17978,1,4,0.190071,36.9632,0,39,36.8735,1,154,3600,59
003,32625,299,4.34251,74.1883,70,7.19835,1,19,14.9435,1582.76,25.2207,3462.35,1748580,1,191,3600,66
003,36517,329,4.61326,84.3694,72,14.3539,1,29,71.1838,715.075,55.69,1946.41,273703,1,196,3600,70
003,41072,315,4.68948,86.0486,80,10.602,1,22,26.868,1200.06,0,3186,970478,1,191,3600,72
003,47731,315,4.16183,94.825,86,12.5053,1,30,69.991,1018.43,42.913,2922.82,512141,1,170,3600,80
003,59626,316,4.6404,107.287,100,10.5657,1,22,30.079,820.848,49.9825,2249.08,409615,1,180,3600,86
003,59836,268,1.02681,111.092,102,2.58186,1,15,3.35279,109.366,23.3241,3382,150778,1,146,3600,100
003,59837,251,1.0422,111.099,106,2.47311,1,13,1.53514,67.5904,0,2434,43458.8,1,130,3600,102
003,59840,285,1.18206,111.113,111,2.2226,1,6,0.26885,33.5838,0,36,38.7505,1,169,3600,106
003,64500,331,4.28691,116.085,113,7.23517,1,17,10.0993,894.192,0,3802,927151,1,189,3600,111
