rep,source_node,dest_node,num_steps,update_discovered
001,74,74,0,97296
001,73,73,0,97224
001,72,72,0,97183
001,71,71,0,97162
001,70,70,0,97151
001,69,69,0,91480
001,68,68,0,91207
001,67,67,0,91184
001,66,66,0,91138
001,65,65,0,91128
001,64,64,0,90587
001,63,63,0,90189
001,62,62,0,90164
001,61,61,0,90157
001,60,60,0,90144
001,59,59,0,82989
001,28,28,0,32018
001,27,27,0,31984
001,26,26,0,31894
001,25,25,0,31878
001,24,24,0,25823
001,23,23,0,25816
001,22,22,0,25803
001,21,21,0,25767
001,20,20,0,23099
001,19,19,0,21605
001,18,18,0,21600
001,17,17,0,21596
001,16,16,0,21544
001,15,15,0,21530
001,14,14,0,17640
001,13,13,0,17618
001,0,0,0,1
001,1,1,0,2
001,2,2,0,6
001,3,3,0,15
001,4,4,0,102
001,5,5,0,592
001,6,6,0,13910
001,7,7,0,14078
001,8,8,0,14251
001,9,9,0,14839
001,10,10,0,17526
001,11,11,0,17535
001,12,12,0,17603
001,29,29,0,32123
001,30,30,0,33230
001,31,31,0,33233
001,32,32,0,33359
001,33,33,0,33384
001,34,34,0,33527
001,35,35,0,38107
001,36,36,0,39716
001,37,37,0,39724
001,38,38,0,39754
001,39,39,0,39856
001,40,40,0,44995
001,41,41,0,45009
001,42,42,0,45055
001,43,43,0,45111
001,44,44,0,45214
001,45,45,0,45216
001,46,46,0,61727
001,47,47,0,61791
001,48,48,0,61866
001,49,49,0,61947
001,50,50,0,70809
001,51,51,0,70819
001,52,52,0,70848
001,53,53,0,70867
001,54,54,0,71319
001,55,55,0,73492
001,56,56,0,82445
001,57,57,0,82464
001,58,58,0,82519
002,30,30,0,84888
002,29,29,0,63747
002,12,12,0,19415
002,11,11,0,19370
002,10,10,0,19353
002,9,9,0,13104
002,8,8,0,13010
002,7,7,0,12999
002,6,6,0,12868
002,5,5,0,4674
002,4,4,0,157
002,3,3,0,18
002,2,2,0,4
002,1,1,0,2
002,0,0,0,1
002,13,13,0,19439
002,14,14,0,19840
002,15,15,0,24433
002,16,16,0,42515
002,17,17,0,42521
002,18,18,0,42560
002,19,19,0,42728
002,20,20,0,42818
002,21,21,0,42831
002,22,22,0,42843
002,23,23,0,42850
002,24,24,0,42975
002,25,25,0,48364
002,26,26,0,63473
002,27,27,0,63490
002,28,28,0,63517
003,60,60,0,91929
003,59,59,0,84058
003,28,28,0,59560
003,27,27,0,59528
003,26,26,0,59471
003,25,25,0,59465
003,24,24,0,45091
003,23,23,0,44863
003,22,22,0,44842
003,21,21,0,44833
003,20,20,0,44822
003,19,19,0,37148
003,18,18,0,37082
003,17,17,0,37033
003,16,16,0,37024
003,15,15,0,30267
003,14,14,0,9146
003,13,13,0,9132
003,0,0,0,1
003,1,1,0,2
003,2,2,0,5
003,3,3,0,28
003,4,4,0,31
003,5,5,0,5575
003,6,6,0,8905
003,7,7,0,8919
003,8,8,0,8955
003,9,9,0,9020
003,10,10,0,9032
003,11,11,0,9047
003,12,12,0,9062
003,29,29,0,59602
003,30,30,0,59704
003,31,31,0,59712
003,32,32,0,59748
003,33,33,0,59804
003,34,34,0,59831
003,35,35,0,60066
003,36,36,0,60087
003,37,37,0,60114
003,38,38,0,60138
003,39,39,0,60237
003,40,40,0,68769
003,41,41,0,68781
003,42,42,0,68855
003,43,43,0,68880
003,44,44,0,69012
003,45,45,0,69645
003,46,46,0,69656
003,47,47,0,69714
003,48,48,0,69721
003,49,49,0,69730
003,50,50,0,79286
003,51,51,0,79295
003,52,52,0,79300
003,53,53,0,79367
003,54,54,0,79384
003,55,55,0,79652
003,56,56,0,83711
003,57,57,0,83751
003,58,58,0,83907
004,74,74,0,79294
004,73,73,0,79225
004,72,72,0,79177
004,71,71,0,79138
004,70,70,0,79134
004,69,69,0,76252
004,68,68,0,76160
004,67,67,0,76151
004,66,66,0,76135
004,65,65,0,76128
004,64,64,0,70099
004,63,63,0,70086
004,62,62,0,70072
004,61,61,0,70050
004,60,60,0,70041
004,59,59,0,61431
004,28,28,0,24773
004,27,27,0,24748
004,26,26,0,24658
004,25,25,0,21435
004,24,24,0,21239
004,23,23,0,21111
004,22,22,0,21098
004,21,21,0,21088
004,20,20,0,21079
004,19,19,0,18422
004,18,18,0,18276
004,17,17,0,18105
004,16,16,0,18093
004,15,15,0,18086
004,14,14,0,6656
004,13,13,0,6575
004,0,0,0,1
004,1,1,0,2
004,2,2,0,5
004,3,3,0,24
004,4,4,0,103
004,5,5,0,2857
004,6,6,0,2873
004,7,7,0,2875
004,8,8,0,2897
004,9,9,0,3065
004,10,10,0,6527
004,11,11,0,6543
004,12,12,0,6560
004,29,29,0,24774
004,30,30,0,30633
004,31,31,0,30645
004,32,32,0,30654
004,33,33,0,30807
004,34,34,0,31119
004,35,35,0,38359
004,36,36,0,38370
004,37,37,0,38396
004,38,38,0,38440
004,39,39,0,38465
004,40,40,0,42640
004,41,41,0,42652
004,42,42,0,42677
004,43,43,0,42707
004,44,44,0,42728
004,45,45,0,42755
004,46,46,0,42767
004,47,47,0,42773
004,48,48,0,42787
004,49,49,0,42871
004,50,50,0,57725
004,51,51,0,60917
004,52,52,0,60943
004,53,53,0,60988
004,54,54,0,60992
004,55,55,0,61000
004,56,56,0,61007
004,57,57,0,61064
004,58,58,0,61091
005,65,65,0,92558
005,64,64,0,90381
005,63,63,0,90162
005,62,62,0,90158
005,61,61,0,90147
005,60,60,0,90133
005,59,59,0,83961
005,28,28,0,53671
005,27,27,0,53666
005,26,26,0,53659
005,25,25,0,53648
005,24,24,0,46528
005,23,23,0,46497
005,22,22,0,46357
005,21,21,0,46332
005,20,20,0,33061
005,19,19,0,28978
005,18,18,0,28943
005,17,17,0,28915
005,16,16,0,28865
005,15,15,0,28851
005,14,14,0,21791
005,13,13,0,21562
005,0,0,0,1
005,1,1,0,2
005,2,2,0,6
005,3,3,0,17
005,4,4,0,267
005,5,5,0,1147
005,6,6,0,1156
005,7,7,0,1164
005,8,8,0,1219
005,9,9,0,1260
005,10,10,0,18680
005,11,11,0,21557
005,12,12,0,21560
005,29,29,0,53683
005,30,30,0,58177
005,31,31,0,58198
005,32,32,0,58255
005,33,33,0,58307
005,34,34,0,58329
005,35,35,0,68626
005,36,36,0,68633
005,37,37,0,68658
005,38,38,0,68694
005,39,39,0,68987
005,40,40,0,72945
005,41,41,0,72971
005,42,42,0,73024
005,43,43,0,73055
005,44,44,0,73115
005,45,45,0,75922
005,46,46,0,81779
005,47,47,0,81789
005,48,48,0,81813
005,49,49,0,82012
005,50,50,0,83151
005,51,51,0,83155
005,52,52,0,83169
005,53,53,0,83237
005,54,54,0,83327
005,55,55,0,83849
005,56,56,0,83861
005,57,57,0,83885
005,58,58,0,83940
