rep,"Generation","phylogenetic_diversity","diversity","ave_depth","mrca_depth","mean_pairwise_distance","min_pairwise_distance","max_pairwise_distance","variance_pairwise_distance","mean_evolutionary_distinctiveness","min_evolutionary_distinctiveness","max_evolutionary_distinctiveness","variance_evolutionary_distinctiveness","num_roots","num_active_taxa","num_total_orgs","prev_mrca_depth"
001,610,142,1.16611,7.12056,7,2.19636,1,4,0.208536,37.416,0,40,46.1876,1,131,3600,-1
001,5663,193,3.085,10.2236,9,4.56396,1,16,6.94423,2196.47,0,3506,1820520,1,163,3600,7
001,10256,152,1.10092,20.1033,13,2.84671,1,15,5.54579,105.843,18.5124,2240,100982,1,125,3600,9
001,10260,176,1.25059,20.1303,20,2.26849,1,6,0.331766,36.0171,0,39,53.558,1,153,3600,13
001,16136,220,4.02993,27.2917,22,8.96917,1,22,28.0582,934.521,35.8857,2807.24,706446,1,162,3600,20
001,20305,280,4.01875,35.7431,24,10.7272,1,29,39.5777,1326.15,57.9115,3057.91,763642,1,201,3600,22
001,20503,245,3.44268,35.3556,30,7.52909,1,24,26.1814,1461.43,33.5513,2402.6,787171,1,179,3600,24
001,21475,179,0.874327,39.0664,34,2.56407,1,11,2.64501,112.503,0,3360,117493,1,135,3600,30
001,21481,178,1.08539,39.1033,39,2.11656,1,4,0.139355,39.386,0,41,33.7977,1,136,3600,34
001,28888,240,3.38769,46.4978,43,5.62701,1,15,7.59997,784.231,0,1692,231603,1,170,3600,39
001,30358,259,4.25184,48.8225,47,4.99954,1,13,3.907,1101.97,0,2165,492665,1,186,3600,43
001,43259,306,4.07588,60.7661,55,7.36052,1,20,15.496,1850.59,30.6228,3674.67,2119070,1,204,3600,47
001,44251,263,4.39607,61.4758,59,6.19065,1,16,7.87794,1867.41,0,4658,3105990,1,176,3600,55
001,47742,307,4.69415,69.8731,65,8.05829,1,20,11.8058,842.641,0,3790,766893,1,200,3600,59
001,50933,202,1.1141,74.1119,69,2.29803,1,9,0.569082,48.9243,0,52.544,71.066,1,126,3600,65
001,50934,207,1.19272,74.1244,74,2.22695,1,4,0.232929,34.8564,0,38,55.5884,1,130,3600,69
001,57715,279,2.99546,84.8164,84,3.59463,1,11,2.48267,3033.83,0,4396,2471800,1,171,3600,74
001,61519,275,1.30067,101.131,101,2.30347,1,6,0.328027,35.4047,0,39,59.5287,1,169,3600,84
001,73256,263,1.20398,122.119,111,2.46836,1,15,2.53573,115.429,38.8407,5352,206758,1,139,3600,101
001,73260,268,1.19263,122.127,122,2.27499,1,6,0.31973,34.7716,0,38,53.477,1,143,3600,111
001,74239,258,0.978756,127.093,127,2.10602,1,4,0.131514,33.5487,0,35,25.8104,1,130,3600,122
001,78850,308,1.24586,140.119,140,2.13029,1,4,0.146504,38.7575,0,41,41.0235,1,167,3600,127
001,84319,375,4.86238,150.083,146,8.61492,1,19,11.6521,941.307,0,3000,470063,1,188,3600,140
001,93017,395,3.71464,165.07,160,9.75573,1,19,22.8155,1194.96,67.6375,5411,461236,1,196,3600,146
001,94775,381,3.59552,165.805,164,4.89589,1,12,5.26692,1690.75,0,2992,1012680,1,191,3600,160
002,5891,317,5.36578,14.8817,4,16.4238,1,36,75.9293,493.169,41.547,1128.17,100449,1,239,3600,-1
002,8995,188,1.98417,29.3069,24,2.56234,1,9,0.868283,37.2177,0,41.4088,73.1762,1,160,3600,4
002,9002,198,1.92054,29.2864,29,2.65171,1,6,0.749655,39.6183,0,44,81.3073,1,161,3600,24
002,19568,248,4.00654,51.9633,49,6.04206,1,15,8.68397,1391.52,0,2905,870973,1,174,3600,29
002,19786,210,1.33432,58.1292,58,2.03895,1,4,0.0646209,41.0362,0,42,23.4411,1,152,3600,49
002,25412,298,4.09046,75.0767,66,14.2554,1,31,58.9831,713.89,50.1795,2495.75,204163,1,178,3600,58
002,27729,281,4.27074,78.5211,74,7.65305,1,19,17.3871,985.796,27.1765,2929.65,662270,1,176,3600,66
002,29289,295,4.40963,80.3622,76,8.64525,1,21,14.8411,1286.98,0,3518,639924,1,175,3600,74
002,32607,300,3.42338,90.7878,88,5.00745,1,13,8.96076,897.009,11.5248,1281.45,199120,1,193,3600,76
002,33907,315,4.35778,92.7047,90,6.6237,1,15,6.33899,630.929,0,2579,365693,1,198,3600,88
002,46390,359,4.78573,118.523,114,6.54269,1,17,7.85215,1021.6,0,4385,782589,1,209,3600,90
002,46999,345,4.14557,120.834,116,9.19355,1,25,19.9472,1181.22,0,3152,586379,1,186,3600,114
002,51862,355,4.68876,138.204,128,14.0264,1,28,61.7675,1008.97,34.6028,3611.06,582514,1,185,3600,116
002,52388,287,1.25587,137.129,132,2.35087,1,8,0.586571,65.4107,0,69.1862,97.2545,1,146,3600,128
002,52393,309,1.42904,137.142,137,2.24316,1,5,0.260608,41.8747,0,46,82.2584,1,170,3600,132
002,57614,333,3.79655,149.19,139,10.4891,1,24,46.5368,921.572,58.8322,2800.65,179453,1,159,3600,137
002,60890,421,5.10443,160.532,147,16.8594,1,40,117.693,700.117,48.8564,3309.93,295821,1,208,3600,139
002,61523,344,2.40102,168.553,168,2.90369,1,7,0.826838,35.5374,0,40,72.6455,1,168,3600,147
002,74050,372,1.78461,187.218,187,2.37032,1,6,0.412665,41.7112,0,46,84.4493,1,176,3600,168
002,88310,401,3.90731,200.846,197,6.03275,1,21,20.0596,919.992,19.443,1605.34,247755,1,171,3600,187
002,88477,385,3.45357,200.187,199,4.08127,1,10,2.58916,1226.18,0,1763,316072,1,166,3600,197
002,88839,374,1.21813,206.116,201,2.30839,1,13,1.05117,41.5377,3.8,608,2046.05,1,161,3600,199
002,88841,354,1.24578,206.129,206,2.22315,1,4,0.226698,36.8028,0,39,38.2322,1,142,3600,201
002,91788,448,4.46276,217.016,214,5.67316,1,14,5.57379,853.975,0,1871,315969,1,197,3600,206
002,95105,470,4.4865,222.225,216,10.0996,1,21,26.1925,688.529,43.0965,1821.62,223162,1,213,3600,214
002,95622,375,1.15552,229.11,229,2.16606,1,4,0.181033,31.9545,0,34,31.4577,1,143,3600,216
003,2987,277,5.11972,7.0175,2,8.86071,1,22,16.4625,724.751,0,2686,438987,1,225,3600,-1
003,4120,191,1.67707,11.1828,6,2.62862,1,16,3.4577,80.464,0,2024,69570.3,1,166,3600,2
003,4124,190,1.64991,11.1881,11,2.32815,1,6,0.364113,35.5664,0,39,60.3057,1,174,3600,6
003,9744,244,4.47107,27.5875,21,11.0159,1,24,27.9907,722.586,54.2152,1808.72,312312,1,186,3600,11
003,15464,268,4.3058,32.4078,27,9.24949,1,21,26.1206,965.694,49.28,2670.04,465544,1,204,3600,21
003,21702,248,4.55521,44.6789,41,7.50013,1,14,7.79558,784.974,0,3981,619219,1,176,3600,27
003,32138,228,1.14917,70.0739,57,3.82359,1,31,27.1748,225.503,41.5271,4489.8,440300,1,134,3600,41
003,32146,230,1.37778,70.1403,70,2.32131,1,6,0.369492,36.8774,0,42,94.8213,1,159,3600,57
003,37725,288,3.73906,83.6081,78,10.015,1,21,32.0366,737.283,36.1828,1353.8,127289,1,175,3600,70
003,44529,248,1.20727,89.1189,89,2.20427,1,5,0.235105,41.1871,0,44,54.8822,1,155,3600,78
003,54257,315,3.72679,103.006,95,10.9948,1,28,51.4518,1063.45,47.295,2782.47,632625,1,182,3600,89
003,55422,301,3.43087,101.997,99,6.07408,1,14,7.67566,1466.69,0,3920,1158260,1,174,3600,95
003,56852,280,3.86121,104.832,103,5.14956,1,14,5.27407,1432.78,0,3059,1361050,1,155,3600,99
003,58625,248,1.20968,108.125,108,2.23057,1,6,0.290976,34.2214,0,37,45.6586,1,137,3600,103
003,60192,263,1.38127,113.156,113,2.3383,1,6,0.401826,35.4612,0,39,61.5037,1,148,3600,108
003,62368,277,1.01983,120.097,120,2.15432,1,5,0.194504,32.1201,0,34,28.7275,1,154,3600,113
003,70814,276,1.18593,135.049,130,2.75887,1,13,4.62234,118.402,0,2187,130175,1,135,3600,120
003,70826,281,1.31988,135.134,135,2.20017,1,4,0.208745,37.4779,0,41,60.8703,1,147,3600,130
003,86383,355,3.87766,149.599,145,8.84489,1,26,26.8934,637.921,43.4433,1067.04,76203.6,1,169,3600,135
003,87716,332,3.55277,153.549,149,8.82234,1,21,22.2661,906.918,0,2130,362131,1,154,3600,145
003,93644,374,4.11415,161.239,157,8.29233,1,23,19.2995,987.738,37.114,1745.6,363902,1,172,3600,149
003,96020,408,4.58963,168.347,159,12.7628,1,28,48.9383,749.909,34.1114,1750.51,277018,1,195,3600,157
003,98556,401,4.46706,169.151,161,13.0702,1,30,64.2823,593.63,34.55,2920.3,240487,1,186,3600,159
004,1256,177,1.54805,5.16194,5,2.28966,1,6,0.340252,37.9508,0,42,70.809,1,170,3600,-1
004,11256,235,3.99366,19.3906,11,11.2141,1,30,61.8208,986.429,42.4762,1814.27,426431,1,174,3600,5
004,20805,245,4.1941,41.2914,29,9.18069,1,23,21.9727,1170.98,0,6545,1473500,1,175,3600,11
004,22338,273,3.8138,46.4225,41,7.36271,1,24,23.6986,1493.81,18.0461,2407.42,665218,1,200,3600,29
004,30857,285,4.5053,58.9047,55,7.24105,1,18,12.037,925.05,0,3680,454615,1,199,3600,41
004,40435,285,3.16216,80.6397,71,12.6988,1,28,69.5189,873.5,46.1481,1711.35,126654,1,169,3600,55
004,40767,237,1.22595,88.1064,79,2.35859,1,12,1.14881,41.6625,0,44.2098,46.9083,1,144,3600,71
004,40771,259,1.35838,88.1383,88,2.15546,1,4,0.167801,36.1867,0,38,32.4802,1,166,3600,79
004,47607,304,4.38813,98.8208,94,8.144,1,19,15.9008,844.152,29.0273,2085.16,400682,1,179,3600,88
004,56352,315,3.53589,109.079,96,11.4474,1,35,130.27,1382.38,78.4058,2187.01,585465,1,169,3600,94
004,57638,320,3.87299,109.608,108,5.06443,1,15,6.33832,1794.74,0,3410,1629430,1,178,3600,96
004,66188,330,3.95352,124.032,122,5.79439,1,14,6.35809,1478.41,0,3899,2028510,1,178,3600,108
