rep,"Generation","phylogenetic_diversity","diversity","ave_depth","mrca_depth","mean_pairwise_distance","min_pairwise_distance","max_pairwise_distance","variance_pairwise_distance","mean_evolutionary_distinctiveness","min_evolutionary_distinctiveness","max_evolutionary_distinctiveness","variance_evolutionary_distinctiveness","num_roots","num_active_taxa","num_total_orgs","prev_mrca_depth"
001,1894,307,5.38796,6.66556,2,8.60207,1,24,11.6943,395.446,10.3592,873.239,51298.1,1,242,3600,-1
001,2802,304,5.12322,11.36,4,12.3175,1,26,28.3334,550.143,24.6921,1012.24,64730.9,1,243,3600,2
001,8564,379,5.04997,33.7392,6,25.556,1,69,638.051,696.661,36.4328,2193.34,349081,1,271,3600,4
001,8972,332,5.3827,35.1344,32,7.09746,1,16,7.54321,576.778,0,2000,321351,1,257,3600,6
001,12853,319,4.53109,49.7506,44,9.71167,1,22,21.4419,763.987,36.6465,1504.67,245440,1,227,3600,32
001,17009,359,5.0869,58.6172,50,12.8558,1,29,40.0749,875.379,33.9699,2815.11,549252,1,240,3600,44
001,21758,417,5.17595,64.56,58,11.843,1,29,28.6792,691.747,24.0726,1920.32,328489,1,260,3600,50
001,27076,430,5.6762,84.145,70,16.945,1,46,121.372,694.574,31.3948,1853.43,312232,1,268,3600,58
001,30860,419,5.41619,95.1347,84,15.4009,1,31,84.5578,1234.12,39.5303,4028.08,1787550,1,266,3600,70
001,32476,410,5.40432,97.5786,94,7.9163,1,22,15.4402,1013.87,0,3079,1101830,1,256,3600,84
001,39942,270,1.21643,119.125,119,2.23957,1,6,0.290834,31.5664,0,34,38.2705,1,148,3600,94
001,44648,325,3.00391,125.803,125,3.78222,1,11,2.64051,1207.24,0,1873,448246,1,182,3600,119
001,47415,275,0.965748,136.094,136,2.23634,1,5,0.268239,38.1418,0,41,50.062,1,134,3600,125
001,51720,319,1.53803,153.161,153,2.2663,1,6,0.327628,33.9351,0,37,48.2056,1,163,3600,136
001,55441,420,4.66565,162.73,155,11.9085,1,34,51.2707,1032.06,25.9609,2104.59,542114,1,201,3600,153
001,57628,383,3.70085,168.243,161,7.47697,1,21,29.4009,1445.36,28.1711,2660.74,785982,1,183,3600,155
001,58198,379,3.9363,168.933,167,5.83254,1,17,8.29154,1529.12,0,3220,1420810,1,181,3600,161
001,66608,371,4.38533,179.912,177,6.53863,1,17,10.0394,1489.06,0,4597,2047640,1,167,3600,167
001,72573,379,4.0607,187.85,185,6.56865,1,17,10.7481,1110,0,2746,604815,1,168,3600,177
001,84871,435,4.13464,210.83,197,17.9748,1,41,229.773,1322.24,72.5906,3627.38,917731,1,187,3600,185
001,87012,452,4.614,209.292,203,7.45069,1,21,14.2899,937.333,28.197,3800.52,826125,1,205,3600,197
001,87017,426,4.56048,209.346,205,7.67755,1,21,15.227,827.23,0,3796,734437,1,188,3600,203
001,87323,385,1.2688,212.057,207,3.85432,1,14,10.4017,160.174,0,2117,145086,1,153,3600,205
001,87331,360,1.10642,212.107,212,2.14705,1,4,0.16382,34.962,0,37,36.3964,1,147,3600,207
001,91934,404,1.94405,222.596,216,6.3125,1,22,24.3722,464.971,0,2907,678785,1,163,3600,212
001,91953,392,1.61498,223.191,223,2.36956,1,5,0.350173,38.8036,0,42,56.8356,1,159,3600,216
001,93441,360,1.11673,230.123,230,2.21697,1,5,0.256135,34.5276,0,37,44.5349,1,127,3600,223
001,97521,417,2.62081,245.549,236,3.07871,1,19,3.10967,61.2743,16.3253,2710,42328.9,1,167,3600,230
001,97522,429,2.64111,245.549,245,2.85431,1,7,0.694674,30.537,0,35,60.6217,1,179,3600,236
001,98091,404,1.27197,250.133,250,2.14638,1,4,0.162501,36.7427,0,38,24.8205,1,149,3600,245
002,1863,277,4.38763,7.76389,2,7.33253,1,19,18.1155,720.886,11.562,1206.74,153492,1,240,3600,-1
002,3535,326,5.57332,14.4833,8,10.1708,1,26,24.8318,597.47,0,2711,301351,1,270,3600,2
002,4061,183,1.05421,25.0983,14,2.55959,1,22,5.25534,56.1189,10.2973,1524,14613.1,1,149,3600,8
002,4063,172,1.00752,25.1,25,2.12364,1,5,0.170708,39.5278,0,41,34.3974,1,144,3600,14
002,7663,196,1.95689,38.1544,37,3.02022,1,8,1.42202,36.1753,0.421488,41.0826,77.8606,1,151,3600,25
002,8504,230,3.13968,39.0589,38,4.02228,1,14,5.06264,602.033,0,882,95498.9,1,170,3600,37
002,15781,213,1.38191,53.1531,48,2.31572,1,10,0.74656,64.9304,15.9613,2474,37486.7,1,156,3600,38
002,15783,232,1.44263,53.165,53,2.32908,1,6,0.433131,34.7581,0,38,55.9019,1,174,3600,48
002,25075,293,4.15323,69.4283,67,6.40911,1,15,7.46625,1416.96,0,3965,2273040,1,194,3600,53
002,31250,237,1.77044,82.0622,71,3.52702,1,24,6.79267,118.588,30.3262,4276,168579,1,142,3600,67
002,31252,223,1.8185,82.0881,77,3.17282,1,9,1.60324,62.0147,0,1867,24030.9,1,137,3600,71
002,31256,237,2.02112,82.1244,81,3.11266,1,7,1.30516,39.0743,0.479167,44.0208,67.5059,1,150,3600,77
002,31698,250,1.33052,87.1336,82,2.38278,1,9,0.633587,38.3864,3.01258,479,1286,1,160,3600,81
002,31703,251,1.48099,87.1611,87,2.31973,1,5,0.320897,38.4237,0,42,60.5445,1,155,3600,82
002,41847,306,3.67715,97.3556,95,4.96415,1,14,4.85458,1312.24,0,4062,1545800,1,181,3600,87
002,44998,319,4.4112,104.101,99,9.34008,1,20,21.068,677.644,30.7375,1573.21,199452,1,188,3600,95
002,47177,275,1.19421,108.117,108,2.34138,1,6,0.358573,40.2371,0,46,102.656,1,162,3600,99
002,53744,335,4.08314,121.145,112,12.4545,1,27,64.2126,761.051,44.0316,1763.74,168198,1,183,3600,108
002,54722,318,3.66505,124.565,122,5.21222,1,11,4.33322,906.382,0,1669,326323,1,175,3600,112
002,67478,320,2.14004,140.409,140,2.82269,1,9,1.33939,1737.9,0,2092,316120,1,163,3600,122
002,67770,293,1.10487,147.113,147,2.18257,1,5,0.221986,32.3286,0,34,28.5276,1,141,3600,140
002,73210,363,3.58251,155.593,151,5.48959,1,15,9.98866,1347.83,30.7843,2109.11,545646,1,188,3600,147
002,73601,406,4.27733,156.78,155,5.55693,1,16,6.53048,1170.7,0,2483,840840,1,216,3600,151
002,76027,363,3.95498,161.037,157,6.09683,1,14,8.18479,999.583,19.8027,1799.61,328625,1,180,3600,155
002,80566,361,3.50898,165.9,161,7.92281,1,17,16.112,1230.55,70.3845,1847.1,252450,1,171,3600,157
002,83461,324,1.18057,174.106,167,2.74193,1,15,3.97112,96.619,15.3597,2135,97245.5,1,140,3600,161
002,83466,328,1.19839,174.118,169,2.27749,1,12,1.05955,56.9438,12.3356,1838,21325.4,1,150,3600,167
