rep,source_node,dest_node,num_steps,update_discovered
001,44,44,0,90539
001,43,43,0,90536
001,42,42,0,90523
001,41,41,0,90512
001,40,40,0,76085
001,39,39,0,65686
001,38,38,0,65439
001,37,37,0,65437
001,36,36,0,65435
001,35,35,0,65427
001,34,34,0,51080
001,33,33,0,50700
001,32,32,0,50689
001,31,31,0,50676
001,30,30,0,50672
001,29,29,0,49326
001,12,12,0,11176
001,11,11,0,11168
001,10,10,0,11159
001,9,9,0,3255
001,8,8,0,3240
001,7,7,0,3206
001,6,6,0,3198
001,5,5,0,2575
001,4,4,0,430
001,3,3,0,12
001,2,2,0,5
001,1,1,0,2
001,0,0,0,1
001,13,13,0,11216
001,14,14,0,11359
001,15,15,0,13429
001,16,16,0,14589
001,17,17,0,14592
001,18,18,0,14600
001,19,19,0,14895
001,20,20,0,17261
001,21,21,0,43229
001,22,22,0,43235
001,23,23,0,43243
001,24,24,0,43368
001,25,25,0,48947
001,26,26,0,48961
001,27,27,0,48970
001,28,28,0,48988
002,74,74,0,87290
002,73,73,0,86618
002,72,72,0,86611
002,71,71,0,86602
002,70,70,0,86599
002,69,69,0,85793
002,68,68,0,85742
002,67,67,0,85725
002,66,66,0,85720
002,65,65,0,77761
002,64,64,0,74427
002,63,63,0,74407
002,62,62,0,74381
002,61,61,0,74370
002,60,60,0,74365
002,59,59,0,72017
002,28,28,0,29367
002,27,27,0,29360
002,26,26,0,29348
002,25,25,0,22663
002,24,24,0,19352
002,23,23,0,18604
002,22,22,0,18596
002,21,21,0,18591
002,20,20,0,18583
002,19,19,0,7735
002,18,18,0,7550
002,17,17,0,7531
002,16,16,0,7529
002,15,15,0,7522
002,14,14,0,5405
002,13,13,0,5362
002,0,0,0,1
002,1,1,0,2
002,2,2,0,3
002,3,3,0,8
002,4,4,0,34
002,5,5,0,4502
002,6,6,0,4509
002,7,7,0,4516
002,8,8,0,4526
002,9,9,0,5329
002,10,10,0,5331
002,11,11,0,5343
002,12,12,0,5349
002,29,29,0,29399
002,30,30,0,33300
002,31,31,0,33308
002,32,32,0,33310
002,33,33,0,33320
002,34,34,0,33510
002,35,35,0,38329
002,36,36,0,38335
002,37,37,0,38342
002,38,38,0,38350
002,39,39,0,38381
002,40,40,0,40527
002,41,41,0,40542
002,42,42,0,40545
002,43,43,0,40584
002,44,44,0,40832
002,45,45,0,42613
002,46,46,0,42620
002,47,47,0,42634
002,48,48,0,42644
002,49,49,0,43177
002,50,50,0,52086
002,51,51,0,71600
002,52,52,0,71602
002,53,53,0,71631
002,54,54,0,71711
002,55,55,0,71855
002,56,56,0,71866
002,57,57,0,71872
002,58,58,0,71891
003,50,50,0,71634
003,49,49,0,67620
003,48,48,0,67519
003,47,47,0,67493
003,46,46,0,67487
003,45,45,0,67469
003,44,44,0,48222
003,43,43,0,48149
003,42,42,0,48123
003,41,41,0,48117
003,40,40,0,48110
003,39,39,0,40280
003,38,38,0,39962
003,37,37,0,39943
003,36,36,0,39936
003,35,35,0,39928
003,34,34,0,39001
003,33,33,0,38913
003,32,32,0,38911
003,31,31,0,38907
003,30,30,0,38897
003,29,29,0,32453
003,12,12,0,25335
003,11,11,0,25328
003,10,10,0,25308
003,9,9,0,23046
003,8,8,0,22819
003,7,7,0,22795
003,6,6,0,22776
003,5,5,0,3662
003,4,4,0,67
003,3,3,0,21
003,2,2,0,7
003,1,1,0,2
003,0,0,0,1
003,13,13,0,25351
003,14,14,0,25352
003,15,15,0,26353
003,16,16,0,26360
003,17,17,0,26370
003,18,18,0,26376
003,19,19,0,26775
003,20,20,0,27835
003,21,21,0,27838
003,22,22,0,27851
003,23,23,0,27860
003,24,24,0,28192
003,25,25,0,32351
003,26,26,0,32361
003,27,27,0,32372
003,28,28,0,32382
004,34,34,0,91733
004,33,33,0,91438
004,32,32,0,91429
004,31,31,0,91420
004,30,30,0,67759
004,29,29,0,65764
004,12,12,0,29132
004,11,11,0,29127
004,10,10,0,20721
004,9,9,0,928
004,8,8,0,884
004,7,7,0,858
004,6,6,0,849
004,5,5,0,840
004,4,4,0,266
004,3,3,0,17
004,2,2,0,4
004,1,1,0,2
004,0,0,0,1
004,13,13,0,29141
004,14,14,0,29451
004,15,15,0,38633
004,16,16,0,55729
004,17,17,0,55738
004,18,18,0,55752
004,19,19,0,55783
004,20,20,0,61612
004,21,21,0,61621
004,22,22,0,61631
004,23,23,0,61645
004,24,24,0,61666
004,25,25,0,64914
004,26,26,0,65633
004,27,27,0,65650
004,28,28,0,65661
005,30,30,0,87114
005,29,29,0,86569
005,12,12,0,19857
005,11,11,0,19850
005,10,10,0,19841
005,9,9,0,14463
005,8,8,0,14112
005,7,7,0,14105
005,6,6,0,14092
005,5,5,0,9300
005,4,4,0,42
005,3,3,0,19
005,2,2,0,4
005,1,1,0,2
005,0,0,0,1
005,13,13,0,19862
005,14,14,0,19960
005,15,15,0,24020
005,16,16,0,24032
005,17,17,0,24034
005,18,18,0,24052
005,19,19,0,24569
005,20,20,0,27821
005,21,21,0,70206
005,22,22,0,70215
005,23,23,0,70231
005,24,24,0,70615
005,25,25,0,77368
005,26,26,0,86480
005,27,27,0,86486
005,28,28,0,86511
006,35,35,0,89763
006,34,34,0,82060
006,33,33,0,81953
006,32,32,0,81951
006,31,31,0,81945
006,30,30,0,81936
006,29,29,0,48667
006,12,12,0,33494
006,11,11,0,33485
006,10,10,0,11449
006,9,9,0,10731
006,8,8,0,10263
006,7,7,0,10251
006,6,6,0,10234
006,5,5,0,81
006,4,4,0,74
006,3,3,0,25
006,2,2,0,6
006,1,1,0,2
006,0,0,0,1
006,13,13,0,33524
006,14,14,0,34523
006,15,15,0,38331
006,16,16,0,38343
006,17,17,0,38351
006,18,18,0,38385
006,19,19,0,38436
006,20,20,0,41947
006,21,21,0,41955
006,22,22,0,41967
006,23,23,0,41980
006,24,24,0,42003
006,25,25,0,48111
006,26,26,0,48118
006,27,27,0,48128
006,28,28,0,48145
007,39,39,0,88848
007,38,38,0,88457
007,37,37,0,88427
007,36,36,0,88418
007,35,35,0,71603
007,34,34,0,66179
007,33,33,0,65803
007,32,32,0,65797
007,31,31,0,65784
007,30,30,0,58536
007,29,29,0,51370
007,12,12,0,24645
007,11,11,0,24635
007,10,10,0,24623
007,9,9,0,5819
007,8,8,0,5441
007,7,7,0,5412
007,6,6,0,5401
007,5,5,0,5390
007,4,4,0,110
007,3,3,0,37
007,2,2,0,6
007,1,1,0,2
007,0,0,0,1
007,13,13,0,24657
007,14,14,0,24726
007,15,15,0,33665
007,16,16,0,33668
007,17,17,0,33681
007,18,18,0,33723
007,19,19,0,33798
007,20,20,0,39834
007,21,21,0,39846
007,22,22,0,39851
007,23,23,0,39870
007,24,24,0,39939
007,25,25,0,44091
007,26,26,0,51205
007,27,27,0,51215
007,28,28,0,51234
008,39,39,0,89004
008,38,38,0,88852
008,37,37,0,88846
008,36,36,0,88839
008,35,35,0,88830
008,34,34,0,82619
008,33,33,0,82482
008,32,32,0,82466
008,31,31,0,82458
008,30,30,0,82453
008,29,29,0,75986
008,12,12,0,10263
008,11,11,0,10252
008,10,10,0,7782
008,9,9,0,1928
008,8,8,0,1873
008,7,7,0,1852
008,6,6,0,1845
008,5,5,0,1833
008,4,4,0,50
008,3,3,0,18
